"Status","Index","Name","Extension","Flag","StoredSize","ExpandedSize","ActualSize","MissingBytes","DumpPath"
"missing","0","areavolumes20.xml",".xml","0x11","290","300","0","300","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\000_areavolumes20.xml"
"ok","1","audiocollection20.xml",".xml","0x10","215","87","87","0","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\001_audiocollection20.xml"
"ok","2","bikes/bike_donkey.xml",".xml","0x11","1384","3957","3957","0","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\002_bikes_bike_donkey.xml"
"ok","3","bikes/bike_unicorn.xml",".xml","0x11","1364","3579","3579","0","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\003_bikes_bike_unicorn.xml"
"missing","4","config20.xml",".xml","0x11","462","714","0","714","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\004_config20.xml"
"ok","5","constrainscollection20.xml",".xml","0x10","180","52","52","0","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\005_constrainscollection20.xml"
"missing","6","editorcamera20.xml",".xml","0x11","288","277","0","277","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\006_editorcamera20.xml"
"missing","7","environment_presets20.xml",".xml","0x11","1198","10085","0","10085","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\007_environment_presets20.xml"
"missing","8","images/garage/rider/Female_2.png.tex",".tex","0x11","31329","286750","0","286750","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\008_images_garage_rider_Female_2.png.tex"
"missing","9","images/garage/rider/Female_2_Body.png.tex",".tex","0x11","9393","102430","0","102430","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\009_images_garage_rider_Female_2_Body.png.tex"
"missing","10","images/garage/rider/Female_2_Head.png.tex",".tex","0x11","9780","102430","0","102430","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\010_images_garage_rider_Female_2_Head.png.tex"
"missing","11","images/garage/rider/Female_2_Pants.png.tex",".tex","0x11","8075","102430","0","102430","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\011_images_garage_rider_Female_2_Pants.png.tex"
"missing","12","images/garage/rider/small/Female_2_Body.png.tex",".tex","0x11","2284","4126","0","4126","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\012_images_garage_rider_small_Female_2_Body.png.tex"
"missing","13","images/garage/rider/small/Female_2_Head.png.tex",".tex","0x11","1950","4126","0","4126","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\013_images_garage_rider_small_Female_2_Head.png.tex"
"missing","14","images/garage/rider/small/Female_2_Pants.png.tex",".tex","0x11","1748","4126","0","4126","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\014_images_garage_rider_small_Female_2_Pants.png.tex"
"ok","15","ingamemusiccollection20.xml",".xml","0x11","171","51","51","0","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\015_ingamemusiccollection20.xml"
"missing","16","localization/dlc20_chinese.xml",".xml","0x11","354","354","0","354","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\016_localization_dlc20_chinese.xml"
"missing","17","localization/dlc20_dutch.xml",".xml","0x11","349","347","0","347","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\017_localization_dlc20_dutch.xml"
"missing","18","localization/dlc20_french.xml",".xml","0x11","350","348","0","348","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\018_localization_dlc20_french.xml"
"missing","19","localization/dlc20_german.xml",".xml","0x11","350","348","0","348","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\019_localization_dlc20_german.xml"
"missing","20","localization/dlc20_italian.xml",".xml","0x11","350","349","0","349","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\020_localization_dlc20_italian.xml"
"missing","21","localization/dlc20_japanese.xml",".xml","0x11","350","350","0","350","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\021_localization_dlc20_japanese.xml"
"ok","22","localization/dlc20_oasis__global.xml",".xml","0x11","2341","29628","29628","0","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\022_localization_dlc20_oasis__global.xml"
"missing","23","localization/dlc20_portuguese-brazil.xml",".xml","0x11","358","359","0","359","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\023_localization_dlc20_portuguese-brazil.xml"
"missing","24","localization/dlc20_portuguese.xml",".xml","0x11","358","359","0","359","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\024_localization_dlc20_portuguese.xml"
"missing","25","localization/dlc20_russian.xml",".xml","0x11","350","349","0","349","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\025_localization_dlc20_russian.xml"
"missing","26","localization/dlc20_spanish.xml",".xml","0x11","350","349","0","349","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\026_localization_dlc20_spanish.xml"
"missing","27","manmade/buildings/garage/garage_background_1.gfx",".gfx","0x11","29595","246120","0","246120","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\027_manmade_buildings_garage_garage_background_1.gfx"
"ok","28","objectcategory20.xml",".xml","0x11","325","299","299","0","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\028_objectcategory20.xml"
"ok","29","objectcollection20.xml",".xml","0x11","136983","1959059","1959059","0","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\029_objectcollection20.xml"
"missing","30","objects/pack20/aiden_bottom_1669118754.mdl",".mdl","0x10","141013","140885","0","140885","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\030_objects_pack20_aiden_bottom_1669118754.mdl"
"missing","31","objects/pack20/aiden_head_2604412728.mdl",".mdl","0x10","358876","358748","0","358748","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\031_objects_pack20_aiden_head_2604412728.mdl"
"missing","32","objects/pack20/aiden_top_1216871494.mdl",".mdl","0x10","531297","531169","0","531169","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\032_objects_pack20_aiden_top_1216871494.mdl"
"missing","33","objects/pack20/apocalypse_mask_3937105966.mdl",".mdl","0x10","159548","159420","0","159420","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\033_objects_pack20_apocalypse_mask_3937105966.mdl"
"missing","34","objects/pack20/apocalypse_rider_helmet_2415648959.mdl",".mdl","0x10","72978","72850","0","72850","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\034_objects_pack20_apocalypse_rider_helmet_2415648959.mdl"
"missing","35","objects/pack20/apocalypse_rider_legs_2263877008.mdl",".mdl","0x10","145424","145296","0","145296","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\035_objects_pack20_apocalypse_rider_legs_2263877008.mdl"
"missing","36","objects/pack20/apocalypse_rider_torso_241008148.mdl",".mdl","0x10","496400","496272","0","496272","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\036_objects_pack20_apocalypse_rider_torso_241008148.mdl"
"missing","37","objects/pack20/arno_head2_3284873855.mdl",".mdl","0x10","181106","180978","0","180978","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\037_objects_pack20_arno_head2_3284873855.mdl"
"missing","38","objects/pack20/arno_legs_3515252172.mdl",".mdl","0x10","162207","162079","0","162079","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\038_objects_pack20_arno_legs_3515252172.mdl"
"missing","39","objects/pack20/arno_upper_body_3445539938.mdl",".mdl","0x10","794391","794263","0","794263","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\039_objects_pack20_arno_upper_body_3445539938.mdl"
"missing","40","objects/pack20/barbara_head_278374187.mdl",".mdl","0x10","283386","283258","0","283258","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\040_objects_pack20_barbara_head_278374187.mdl"
"missing","41","objects/pack20/barbara_legs_626581849.mdl",".mdl","0x10","177872","177744","0","177744","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\041_objects_pack20_barbara_legs_626581849.mdl"
"missing","42","objects/pack20/barbara_torso_1231612097.mdl",".mdl","0x10","180946","180818","0","180818","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\042_objects_pack20_barbara_torso_1231612097.mdl"
"missing","43","objects/pack20/bike_minx_back_swing_arm_1655584065.mdl",".mdl","0x10","64326","64198","0","64198","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\043_objects_pack20_bike_minx_back_swing_arm_1655584065.mdl"
"missing","44","objects/pack20/bike_minx_chain_cover_2982199886.mdl",".mdl","0x10","14603","14475","0","14475","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\044_objects_pack20_bike_minx_chain_cover_2982199886.mdl"
"missing","45","objects/pack20/bike_minx_engine_3104935895.mdl",".mdl","0x10","175022","174894","0","174894","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\045_objects_pack20_bike_minx_engine_3104935895.mdl"
"missing","46","objects/pack20/bike_minx_engine_fender_563789054.mdl",".mdl","0x10","26886","26758","0","26758","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\046_objects_pack20_bike_minx_engine_fender_563789054.mdl"
"missing","47","objects/pack20/bike_minx_exhaust_3563174090.mdl",".mdl","0x10","25260","25132","0","25132","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\047_objects_pack20_bike_minx_exhaust_3563174090.mdl"
"missing","48","objects/pack20/bike_minx_fender_front_2351844293.mdl",".mdl","0x10","11915","11787","0","11787","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\048_objects_pack20_bike_minx_fender_front_2351844293.mdl"
"missing","49","objects/pack20/bike_minx_fender_rear_1360390530.mdl",".mdl","0x10","17849","17721","0","17721","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\049_objects_pack20_bike_minx_fender_rear_1360390530.mdl"
"missing","50","objects/pack20/bike_minx_frame_3881667527.mdl",".mdl","0x10","111065","110937","0","110937","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\050_objects_pack20_bike_minx_frame_3881667527.mdl"
"missing","51","objects/pack20/bike_minx_front_suspension_2273720968.mdl",".mdl","0x10","63655","63527","0","63527","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\051_objects_pack20_bike_minx_front_suspension_2273720968.mdl"
"missing","52","objects/pack20/bike_minx_head_light_2995030938.mdl",".mdl","0x10","8026","7898","0","7898","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\052_objects_pack20_bike_minx_head_light_2995030938.mdl"
"missing","53","objects/pack20/bike_minx_seat_1591740121.mdl",".mdl","0x10","9980","9852","0","9852","F:\Trials Fusion\datapack\pak_runtime\data_patch_named\053_objects_pack20_bike_minx_seat_1591740121.mdl"
