"Index","Name","Extension","Hash","StoredSize","ExpandedSize","Flag","Protected","Compressed","Offset","End"
"0","areavolumes20.xml",".xml","0x3A20CDAA","290","300","0x11","True","True","9260","9550"
"1","audiocollection20.xml",".xml","0xB951CA25","215","87","0x10","True","False","9550","9765"
"2","bikes/bike_donkey.xml",".xml","0xCB240593","1384","3957","0x11","True","True","9765","11149"
"3","bikes/bike_unicorn.xml",".xml","0x17FF978C","1364","3579","0x11","True","True","11149","12513"
"4","config20.xml",".xml","0x118AA6E7","462","714","0x11","True","True","12513","12975"
"5","constrainscollection20.xml",".xml","0xF264C17D","180","52","0x10","True","False","12975","13155"
"6","editorcamera20.xml",".xml","0x64617DCF","288","277","0x11","True","True","13155","13443"
"7","environment_presets20.xml",".xml","0x09215BF2","1198","10085","0x11","True","True","13443","14641"
"8","images/garage/rider/Female_2.png.tex",".tex","0xC3BE3B07","31329","286750","0x11","True","True","14641","45970"
"9","images/garage/rider/Female_2_Body.png.tex",".tex","0x45034C6D","9393","102430","0x11","True","True","45970","55363"
"10","images/garage/rider/Female_2_Head.png.tex",".tex","0xE4313D47","9780","102430","0x11","True","True","55363","65143"
"11","images/garage/rider/Female_2_Pants.png.tex",".tex","0x914E3454","8075","102430","0x11","True","True","65143","73218"
"12","images/garage/rider/small/Female_2_Body.png.tex",".tex","0x7D99EAA8","2284","4126","0x11","True","True","73218","75502"
"13","images/garage/rider/small/Female_2_Head.png.tex",".tex","0x52FE2908","1950","4126","0x11","True","True","75502","77452"
"14","images/garage/rider/small/Female_2_Pants.png.tex",".tex","0x7DA63911","1748","4126","0x11","True","True","77452","79200"
"15","ingamemusiccollection20.xml",".xml","0x021BE227","171","51","0x11","True","True","79200","79371"
"16","localization/dlc20_chinese.xml",".xml","0xDEFE6AC8","354","354","0x11","True","True","79371","79725"
"17","localization/dlc20_dutch.xml",".xml","0x0B6753B8","349","347","0x11","True","True","79725","80074"
"18","localization/dlc20_french.xml",".xml","0x1C0BC009","350","348","0x11","True","True","80074","80424"
"19","localization/dlc20_german.xml",".xml","0xC01C2EE0","350","348","0x11","True","True","80424","80774"
"20","localization/dlc20_italian.xml",".xml","0xA163580A","350","349","0x11","True","True","80774","81124"
"21","localization/dlc20_japanese.xml",".xml","0x29DF00C5","350","350","0x11","True","True","81124","81474"
"22","localization/dlc20_oasis__global.xml",".xml","0x8544C704","2341","29628","0x11","True","True","81474","83815"
