"Score","FirstReadIndex","StreamInfoPtr","ModeFlag","StreamBase","StreamSize","MatchReason","EntryIndex","Name","Extension","Hash","StoredSize","ExpandedSize","Flag","EntryOffset","EntryEnd","FirstAsciiSample"
"3","19882","0x630ea14","0x0","0x16a06dc","132","size+offset","309","packinfo/pack.xml",".xml","0x16077750","247","132","0x11","23725788","23726035","<?xml version=""1.0"" encoding=""ut"
"3","19899","0x630e694","0x0","0x13e42","29628","size+offset","22","localization/dlc20_oasis__global.xml",".xml","0x8544C704","2341","29628","0x11","81474","83815","<?xml version=""1.0"" encoding=""ut"
"3","19958","0x630c544","0x0","0x16a0027","32","size+offset","305","pack20/soundproject.xml",".xml","0xD3EB5538","160","32","0x10","23724071","23724231","<soundproject/>..</soundproject>"
"3","19959","0x630b994","0x0","0x16a0202","4403","size+offset","307","pack20/tracks.xml",".xml","0x7311E077","1044","4403","0x11","23724546","23725590","<?xml version=""1.0"" encoding=""ut"
"3","19960","0x630d944","0x0","0x169c48d","1464","size+offset","296","pack20/events.xml",".xml","0xEEF5EA54","377","1464","0x11","23708813","23709190","..<events>..  <!-- DLC1  -->..  "
"3","19961","0x630c4b4","0x0","0x169c8ac","123579","size+offset","299","pack20/items.xml",".xml","0xDB538D30","12273","123579","0x11","23709868","23722141","<gear>..        <riders>..      "
"3","19962","0x630e7f4","0x0","0x169c3c9","77","size+offset","295","pack20/editortips.xml",".xml","0xC79A571C","196","77","0x11","23708617","23708813","<?xml version=""1.0"" encoding=""ut"
"3","19963","0x6214264","0x0","0x169c25d","401","size+offset","294","pack20/bikes.xml",".xml","0x10715816","364","401","0x11","23708253","23708617","<?xml version=""1.0"" encoding=""ut"
"3","19964","0x630cb04","0x0","0x2625","3957","size+offset","2","bikes/bike_donkey.xml",".xml","0xCB240593","1384","3957","0x11","9765","11149","<config>....<rider .....gameSpee"
"3","19965","0x630eea4","0x0","0x2b8d","3579","size+offset","3","bikes/bike_unicorn.xml",".xml","0x17FF978C","1364","3579","0x11","11149","12513","<config>....<rider .....gameSpee"
"3","19971","0x630d314","0x0","0x16a00c7","247","size+offset","306","pack20/squirrels.xml",".xml","0x7B9675FF","315","247","0x11","23724231","23724546","<SquirrelSet>..  <stats string="""
"3","19972","0x630d254","0x0","0x169fd5d","1526","size+offset","304","pack20/prizes.csv",".csv","0x8E6A25F3","714","1526","0x11","23723357","23724071","100;200;300;400;400..105;210;310"
"3","19973","0x630ca04","0x0","0x169c0e0","62","size+offset","292","pack20/awards.xml",".xml","0x3DF47580","190","62","0x10","23707872","23708062","<?xml version=""1.0"" encoding=""ut"
"3","19974","0x630d6fc","0x0","0x169c19e","63","size+offset","293","pack20/awards_metadata.xml",".xml","0xA3F69636","191","63","0x10","23708062","23708253","<?xml version=""1.0"" encoding=""ut"
"3","21816","0x630ead4","0x0","0x198a9d9","5298364","size+offset","541","vtex/vtex_objects0.raw.hdr",".hdr","0x094DAB53","3828210","5298364","0x11","26782169","30610379",".....@......1.@..@......(.A..@.."
"3","21823","0x3049733c","0x0","0x1be3f30","5298364","size+offset","541","vtex/vtex_objects0.raw.hdr",".hdr","0x094DAB53","3828210","5298364","0x11","26782169","30610379",".....@......1.@..@......(.A..@.."
"3","310909","0x630bea4","0x0","0x1c08a","299","size+offset","28","objectcategory20.xml",".xml","0xC54AE0CC","325","299","0x11","114826","115151","<"
"3","311209","0x630cc44","0x0","0x169f93c","33","size+offset","301","pack20/objectgroups.xml",".xml","0x27119DA7","161","33","0x10","23722300","23722461","<"
"3","311245","0x630d584","0x0","0x13560","51","size+offset","15","ingamemusiccollection20.xml",".xml","0x021BE227","171","51","0x11","79200","79371","<"
"3","311299","0x630bc84","0x0","0x19767ab","15","size+offset","536","seedcollection20.xml",".xml","0xAFCBBCAF","143","15","0x10","26699691","26699834","<"
"3","311317","0x630c9c4","0x0","0x32af","52","size+offset","5","constrainscollection20.xml",".xml","0xF264C17D","180","52","0x10","12975","13155","<"
"3","311370","0x630d504","0x0","0x254e","87","size+offset","1","audiocollection20.xml",".xml","0xB951CA25","215","87","0x10","9550","9765","<"
"3","311460","0x630d7a4","0x0","0x197683a","87","size+offset","537","stampcollection20.xml",".xml","0x260C723F","191","87","0x11","26699834","26700025","<"
"3","311554","0x630e9d4","0x0","0x169f9dd","516","size+offset","302","pack20/objectremaps.xml",".xml","0x2FBA9348","401","516","0x11","23722461","23722862","<"
"3","60256","0x6214544","0x0","0x1c1cf","1959059","size+offset","29","objectcollection20.xml",".xml","0xE583A04E","136983","1959059","0x11","115151","252134","..T..h.....9......P.....@......R"
"3","60266","0x630eec4","0x0","0x1968567","462","size+offset","394","patch20/tools/controller/controller_b_1.gfx",".gfx","0x8DF4338E","291","462","0x11","26641767","26642058","GFX2............?..............."
"3","60267","0x61f1914","0x0","0x196868a","461","size+offset","395","patch20/tools/controller/ps4/controller_b_1.gfx",".gfx","0xD8EAD80A","290","461","0x11","26642058","26642348","GFX2............?..............."
"3","60268","0x630cba4","0x0","0x19687ac","462","size+offset","396","patch20/tools/controller/xbox/controller_b_1.gfx",".gfx","0x2E0B859A","291","462","0x11","26642348","26642639","GFX2............?..............."
"3","60269","0x630f4b4","0x0","0x1966782","429","size+offset","379","patch20/patch_error.gfx",".gfx","0xFAA02BE8","254","429","0x11","26634114","26634368","GFX2............................"
"3","60270","0x630b9f4","0x0","0x16aefc3","3456812","size+offset","367","patch20/characters/podium_rider.gfx",".gfx","0x3A94547E","2708482","3456812","0x11","23785411","26493893","GFX2............................"
"3","63646","0x630cc04","0x0","0x196658f","426","size+offset","377","patch20/characters/watch_dogs_aiden/watchdogs_aiden_head.gfx",".gfx","0x192E159F","251","426","0x11","26633615","26633866","GFX2............................"
"3","63647","0x630d114","0x0","0x1966492","428","size+offset","376","patch20/characters/watch_dogs_aiden/watchdogs_aiden_bottom.gfx",".gfx","0xE34431E4","253","428","0x11","26633362","26633615","GFX2............................"
"3","63648","0x630d664","0x0","0x196668a","425","size+offset","378","patch20/characters/watch_dogs_aiden/watchdogs_aiden_top.gfx",".gfx","0x955B8232","248","425","0x11","26633866","26634114","GFX2............................"
"3","63649","0x6214054","0x0","0x19723e1","438","size+offset","476","patch20/vehicles/bikes/rayman_pitviper/rayman_pitviper_fender_front.gfx",".gfx","0x81EBFC66","262","438","0x11","26682337","26682599","GFX2............................"
"3","63650","0x6214524","0x0","0x197271a","430","size+offset","479","patch20/vehicles/bikes/rayman_pitviper/rayman_pitviper_tank.gfx",".gfx","0x34B9A84A","255","430","0x11","26683162","26683417","GFX2............................"
"3","63651","0x630e874","0x0","0x19722d2","446","size+offset","475","patch20/vehicles/bikes/rayman_pitviper/rayman_pitviper_enginefender.gfx",".gfx","0xB753A323","271","446","0x11","26682066","26682337","GFX2............................"
"3","63652","0x630c344","0x0","0x19725ec","600","size+offset","478","patch20/vehicles/bikes/rayman_pitviper/rayman_pitviper_headlight.gfx",".gfx","0x2172B117","302","600","0x11","26682860","26683162","GFX2............................"
