Hash (275),Value (162),Unknown: 113
00000030,0,
8F03695B,7901,
53F52E4F,aaNF7T,
335A85FA,addvariation,
80CCD41E,adVEI4,
4ABC1536,ae3ptY,
FEF4F2EE,agaOft,
6F8399AD,agDmeQ,
FDE2BBC2,ai0Jhn,
E1531D39,aiBRSR,
5B7BF06C,al56zQ,
9E67C013,allowInSupercross,
3CC5B470,animation,
98EE2BFC,aquvCV,
00000062,b,
F25534EA,breakable,
FEAAB91C,broken_effect,
44B129C8,broken_matrix,
B119EE6E,broken_object,
1BC195E3,buoyancy,
DD4CF1A6,bx0,
173C7CA6,bx1,
DD4DC496,by0,
173D4F96,by1,
DD4E9786,bz0,
173E2286,bz1,
00000063,c,
86CE3990,categories,
F71D1550,category,
BDECFA31,checkpoint,
68C4C754,collection,
7489C8B1,collisionSound,
23C4AC22,collisionSoundParam,
1B80EC1E,color,
DE782885,color0,
ED3A2BFE,color1,
FBFC2F77,color2,
0ABE32F0,color3,
19803669,color4,
284239E2,color5,
37043D5B,color6,
186A5856,container,
6D673249,containers,
AC677CAB,costgfx,
30A6501A,costphys,
26C5EF60,creationDate,
F9781BA3,D3SVb,
8D306823,data,
FB0E9D1F,date,
32533D93,decalContainer,
C737107D,decalContainers,
B9F6D7F0,decalMaxHeight,
4DCEC27B,decalMaxScale,
E3DE8EB9,developer,
55E806B2,diffuse,
C506E314,DjKM2,
DD7B9B50,drivingline,
2E2344E8,editorIconID,
397E1310,engineSound,
27604CD9,entityId,
0041EBCA,ex,
CACC1ED2,exclude,
522C090E,exclusive,
804C4199,export,
0042786A,ey,
0043050A,ez,
1A267D88,filename,
93A4016B,flags,
42DE40D5,foliage1,
5765D6B4,gameGroupID,
F5DF122F,gameProEditor,
9FAE276D,gameVisibilityFlag,
5D5BE804,group0,
6C1DEB7D,group1,
7ADFEEF6,group2,
00000068,h,
1F000100,HDvJL,
8097224A,hitpoints,
00000069,i,
1F2E061B,ibo,
06EC321B,ibs,
CF97D2E5,icon,
00255B12,ID,
0036EF52,id,
98ED4259,ij08t,
5B754BB4,index,
119A5D24,Jrtsq,
B1115720,KDTM2,
0000006C,l,
F057271E,variation131072,
C91565E2,layer,
BCD8A309,looping,
BA307A01,variation8192,
0000006D,m,
40DAEA37,mat,
CC42E703,material,
978CB0D6,materials,
468A45FF,mesh,
2F66B4BE,multiplier,
0000006E,n,
CA82E140,name,
799BFC93,variation524288,
D8D20FE4,object,
AC346ED5,objects,
94A26A5C,originalFilename,
0041EBDE,ox,
0042787E,oy,
0043051E,oz,
A4016384,packageID,
0DCEDB75,physics,
05C45AE9,platform,
860DAECD,prob,
6F86F939,radius,
571EA64F,raDqB,
37FA3756,range,
2899E936,rbx,
62897436,rby,
9C78FF36,rbz,
8CAE6BE9,regeneration,
DD7C29BF,rpmMax,
0231B4DD,rpmMin,
F91C32AF,rpmMul,
0041EBE4,rx,
00427884,ry,
00000073,s,
B9DBB1D0,scaleMax,
BEAB1586,scaleMin,
49573DD8,shader,
797D6883,shadow,
CF59A36C,shared,
0039AE86,si,
18361851,smoothing,
062780E6,solid,
3F427CA3,source,
78CA42FA,sources,
28E6E51D,static,
7335DCD5,subcategory,
D955D183,surface,
0040D2A6,sv,
0041EBE6,sx,
00427886,sy,
00430526,sz,
29ECF4E5,tiledAtlas,
89B43684,tiling,
DF6B6B5B,type,
0D60EFB5,uvmap,
C54D5CF5,UVMap,
EE0FE53A,value,
B6654477,variation,
45618E03,variations,
1F2E0642,vbo,
06EC3242,vbs,
8587EAF3,visibility,
EEB93322,vtw,
28A8BE22,vtx,
62984922,vty,
9C87D422,vtz,
00000077,w,
73621929,wrapping,
00000078,x,
00000079,y,
0000007A,z,
00001EDD,,
00010000,,
0001CA7A,,
01010000,,
025AAF17,variation64,
03735DDD,value3,
061B0001,,
0A000140,,
0DB6239B,,
0F802023,variation1,
100A0948,variation2097152,
1034A4FA,,
1197A03B,,
119889DE,,
11997381,,
12000100,,
1B000100,,
1F4D01C8,,
234D1CAE,,
260001C0,,
29B9E1BC,,
29BACB5F,,
29BBB502,,
29BC9EA5,,
2E8231ED,,
321B0001,,
32420001,,
37AE5EB0,,
41DC233D,,
41DD0CE0,,
41DDF683,,
42000100,,
42BDB913,variation2,
43723DEA,,
4EA2537E,,
4FB85611,,
50301573,,
5088511C,,
526A29C9,,
59FE64BE,,
59FF4E61,,
5B0001C7,,
5C000100,,
604B5422,,
683CF471,,
68A9A8FA,,
68AA929D,,
6A8C6B4A,,
6D30C744,variation33554432,
6DD5C4AF,,
6FC1399A,,
70B1168C,variation32768,
730C10AE,variation65536,
756595D8,,
762F4EB3,variation8,
7734D697,variation262144,
79A58AC1,Surfaces,
7BDF38F1,,
7D130E38,,
7D920256,,
80CB00D8,,
80CBEA7B,,
86000140,,
860001C0,,
860001C3,,
86104DD5,variation4096,
86F08448,variation16384,
8A5F6956,,
8EF1BF75,variation128,
8F85E0AB,,
91581DC1,,
91ED5670,variation4194304,
937929DE,variation2048,
98EC58B6,,
98EF159F,,
9CA4325F,,
A4512B1B,,
